date;age60;reported;nowcast_est;nowcast_0.025;nowcast_0.975;reported7;nowcast7_est;nowcast7_0.025;nowcast7_0.975;F_est;F_0.025;F_0.975
2021-09-25;alle;63;63,0;63;63;486;486,0;486;486;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-24;0-60;37;37,0;37;37;262;262,0;262;262;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-24;60+;38;38,0;38;38;222;222,0;222;222;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-24;alle;75;75,0;75;75;484;484,0;484;484;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-23;0-60;31;31,0;31;31;267;267,0;267;267;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-23;60+;31;31,0;31;31;216;216,0;216;216;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-23;alle;62;62,0;62;62;483;483,0;483;483;NA;NA;NA
2021-09-22;0-60;38;38,0;38;38;290;290,0;290;290;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-22;60+;33;33,0;33;33;231;231,0;231;231;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-22;alle;71;71,0;71;71;521;521,0;521;521;NA;NA;NA
2021-09-21;0-60;41;41,0;41;41;290;290,0;290;290;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-21;60+;35;35,0;35;35;235;235,0;235;235;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-21;alle;76;76,0;76;76;525;525,0;525;525;NA;NA;NA
2021-09-20;0-60;47;47,0;47;47;299;299,0;299;299;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-20;60+;33;33,0;33;33;242;242,0;242;242;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-20;alle;80;80,0;80;80;541;541,0;541;541;NA;NA;NA
2021-09-19;0-60;33;33,0;33;33;314;314,0;314;314;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-19;60+;26;26,0;26;26;252;252,0;252;252;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-19;alle;59;59,0;59;59;566;566,0;566;566;NA;NA;NA
2021-09-18;0-60;35;35,0;35;35;316;316,0;316;316;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-18;60+;26;26,0;26;26;266;266,0;266;266;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-18;alle;61;61,0;61;61;582;582,0;582;582;NA;NA;NA
2021-09-17;0-60;42;42,0;42;42;325;325,0;325;325;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-17;60+;32;32,0;32;32;271;271,0;271;271;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-17;alle;74;74,0;74;74;596;596,0;596;596;NA;NA;NA
2021-09-16;0-60;54;54,0;54;54;319;319,0;319;319;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-16;60+;46;46,0;46;46;285;285,0;285;285;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-16;alle;100;100,0;100;100;604;604,0;604;604;NA;NA;NA
2021-09-15;0-60;38;38,0;38;38;313;313,0;313;313;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-15;60+;37;37,0;37;37;280;280,0;280;280;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-15;alle;75;75,0;75;75;593;593,0;593;593;NA;NA;NA
2021-09-14;0-60;50;50,0;50;50;333;333,0;333;333;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-14;60+;42;42,0;42;42;279;279,0;279;279;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-14;alle;92;92,0;92;92;612;612,0;612;612;NA;NA;NA
2021-09-13;0-60;62;62,0;62;62;353;353,0;353;353;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-13;60+;43;43,0;43;43;269;269,0;269;269;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-13;alle;105;105,0;105;105;622;622,0;622;622;NA;NA;NA
2021-09-12;0-60;35;35,0;35;35;347;347,0;347;347;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-12;60+;40;40,0;40;40;269;269,0;269;269;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-12;alle;75;75,0;75;75;616;616,0;616;616;NA;NA;NA
2021-09-11;0-60;44;44,0;44;44;352;352,0;352;352;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-11;60+;31;31,0;31;31;263;263,0;263;263;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-11;alle;75;75,0;75;75;615;615,0;615;615;NA;NA;NA
2021-09-10;0-60;36;36,0;36;36;362;362,0;362;362;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-10;60+;46;46,0;46;46;257;257,0;257;257;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-10;alle;82;82,0;82;82;619;619,0;619;619;NA;NA;NA
2021-09-09;0-60;48;48,0;48;48;388;388,0;388;388;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-09;60+;41;41,0;41;41;251;251,0;251;251;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-09-09;alle;89;89,0;89;89;639;639,0;639;639;NA;NA;NA
